name,author_role,paper_id,title,journal,achievement_level,year,doi,paper_url,source,affiliations,is_likely_chinese_name,chinese_name_score,name_filter_reason
Haoyue Liu,first_author,1967,Joint workforce scheduling and pricing in crowdsourced delivery under uncertainty,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2639060,https://doi.org/10.1080/24725854.2026.2639060,"openalex,crossref","Institute of Data and Information, Shenzhen International Graduate School, Tsinghua University",1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Ancha Xu,corresponding_author,1969,Modeling two-scale degradation with heterogeneity: A unified random-effects inverse Gaussian framework,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2631614,https://doi.org/10.1080/24725854.2026.2631614,"openalex,crossref","School of Statistics and Data Science, Zhejiang Gongshang University; Collaborative Innovation Center of Statistical Data Engineering, Technology & Application, Zhejiang Gongshang University; Laboratory for Statistical Monitoring and Intelligent Governance of Common Prosperity, Hangzhou, China",1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Xueping Li,corresponding_author,1986,On the optimization of warehousing handling unit partitioning,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2620081,https://doi.org/10.1080/24725854.2026.2620081,"openalex,crossref","Department of Industrial Systems Engineering, University of Tennessee—Knoxville",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Yun-Lei Song,first_author,2048,Optimal purchasing and production control for a circular production system,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2025.2602827,https://doi.org/10.1080/24725854.2025.2602827,crossref,"Department of Industrial Engineering, Northwestern Polytechnical University; Performance Analysis Center of Production and Operations Systems (PacPos), Northwestern Polytechnical University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Li Qin,first_author,408,Optimal scheduling of shared mobile precooling devices in post-harvest precooling,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2655760,https://doi.org/10.1080/24725854.2026.2655760,"openalex,crossref","School of Economics and Management, Southwest Jiaotong University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Zujun Ma,corresponding_author,408,Optimal scheduling of shared mobile precooling devices in post-harvest precooling,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2655760,https://doi.org/10.1080/24725854.2026.2655760,"openalex,crossref","School of Management, Zhejiang University of Finance & Economics",1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Siqian Shen,corresponding_author,1964,Optimizing inspection routes and schedules for infrastructure systems under stochastic decision-dependent failures,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2639646,https://doi.org/10.1080/24725854.2026.2639646,"openalex,crossref","Department of Industrial and Operations Engineering, University of Michigan at Ann Arbor",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Fan Liu,first_author,2049,Physician ranking based on heterogeneous medical user-generated content: A Bayesian preference disaggregation model considering criteria interactions,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2025.2601288,https://doi.org/10.1080/24725854.2025.2601288,crossref,"Chongqing Key Laboratory of Green Logistics Intelligent Technology, School of Economic and Management, Chongqing Jiaotong University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Jun Wang,corresponding_author,1985,Platform’s information sharing strategy in a supplier encroachment context with economies of scale,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2622597,https://doi.org/10.1080/24725854.2026.2622597,"openalex,crossref","School of Management Science and Engineering, Tianjin University of Finance and Economics",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Yichen Ma,first_author,1974,Privacy attack against federated tensor decomposition-based models,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2637906,https://doi.org/10.1080/24725854.2026.2637906,"openalex,crossref","H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
